cost,prototypes,times,q,K,m,seed,name,run,partition_entropy,modified_partition_coefficient,entropy,adjusted_rand_score,f1_micro,f1_macro,classification_error,g0 size,g1 size,g2 size,g3 size,g4 size,g5 size,g6 size,g7 size,g8 size,g9 size
"7741,993303622574","[[1319, 1333], [1887, 1842], [25, 132], [685, 620], [504, 436], [685, 697], [1689, 1722], [749, 773], [491, 479], [479, 593]]",5,2,10,"1,2",18082069,fac,49,"0,6796035595021135","0,2627397350969868","0,6796035595021135","0,4560842929373052","0,1405","0,1499023723280759","0,8594999999999999",388,265,211,172,136,105,237,173,169,144
"7911,938964849056","[[593, 436], [1881, 1859], [1722, 1658], [1025, 1118], [769, 620], [479, 426], [1655, 1689], [504, 479], [25, 132], [749, 641]]",5,2,10,"1,2",18082070,fac,50,"0,7367352219441858","0,20343232532127142","0,7367352219441858","0,39439799037892986","0,1185","0,10960002553599457","0,8815",146,242,181,199,285,126,242,165,198,216
"7677,018552407772","[[1689, 1722], [1319, 1254], [685, 762], [1166, 1047], [1760, 1722], [892, 1366], [1433, 1485], [1904, 1901], [1760, 1722], [504, 524]]",7,2,10,"1,2",18082071,fac,51,"0,6511558993866142","0,28688523822351597","0,6511558993866142","0,517472957518425","0,0675","0,06005280103509582","0,9325",157,234,270,191,0,173,190,310,258,217
"7675,194592986331","[[1760, 1722], [1901, 1898], [504, 524], [685, 762], [1433, 1485], [1760, 1722], [1760, 1722], [1319, 1333], [1887, 1842], [1025, 1118]]",8,2,10,"1,2",18082072,fac,52,"0,6604850885100151","0,27841055989095775","0,6604850885100151","0,4961444356307912","0,187","0,17512495009885334","0,813",0,156,220,240,188,0,394,382,238,182
"7745,413484629737","[[685, 600], [773, 749], [685, 697], [1898, 1901], [1689, 1641], [1319, 1333], [132, 25], [1854, 1808], [588, 479], [695, 772]]",4,2,10,"1,2",18082073,fac,53,"0,6698972872812915","0,28237826808448674","0,6698972872812915","0,4731228725038321","0,0455","0,04791846263394138","0,9545",136,176,113,152,221,378,225,168,306,125
"7721,860571477164","[[1689, 1722], [749, 773], [685, 762], [504, 524], [1887, 1842], [1319, 1333], [479, 593], [1859, 749], [1319, 1260], [132, 25]]",4,2,10,"1,2",18082074,fac,54,"0,6688249573126902","0,261452627171612","0,6688249573126902","0,4387454987510966","0,06","0,0638259135493385","0,94",259,170,214,155,225,191,203,157,213,213
"7746,127023627733","[[1689, 1722], [1319, 1333], [1179, 1086], [479, 504], [1118, 1025], [685, 620], [1834, 1887], [773, 642], [25, 132], [749, 773]]",4,2,10,"1,2",18082075,fac,55,"0,6674536248572346","0,28454247909776","0,6674536248572346","0,5153690800311928","0,0775","0,08719735546588651","0,9225",200,372,83,343,125,190,241,128,204,114
"7557,118932637526","[[1319, 1333], [1881, 1893], [254, 238], [436, 593], [1433, 1485], [685, 683], [1689, 1655], [1016, 1080], [504, 588], [132, 25]]",7,2,10,"1,2",18082076,fac,56,"0,5884077155434825","0,36762549408046685","0,5884077155434825","0,6299244582580954","0,02","0,020539238418336762","0,98",367,239,200,107,178,207,182,155,147,218
"7835,0423348475115","[[685, 620], [1901, 1898], [749, 797], [1722, 1764], [1722, 1689], [1760, 1722], [479, 593], [1319, 1333], [1319, 1260], [1689, 1655]]",4,2,10,"1,2",18082077,fac,57,"0,731727439194022","0,19573933208945082","0,731727439194022","0,4277543222759173","0,0185","0,018933099607425192","0,9815",257,295,250,85,40,212,324,184,205,148
"7656,321037312264","[[685, 620], [593, 436], [1887, 1834], [1558, 1518], [1319, 1333], [593, 436], [132, 25], [840, 909], [749, 641], [1689, 1655]]",10,2,10,"1,2",18082078,fac,58,"0,6323693809540486","0,3114483604131849","0,6323693809540486","0,5184739234089168","0,0205","0,01849480339558975","0,9795",260,0,181,220,226,274,228,178,210,223
