cost,prototypes,times,q,K,m,seed,run,partition_entropy,modified_partition_coefficient,entropy,adjusted_rand_score,f1_micro,f1_macro,classification_error,g0 size,g1 size,g2 size,g3 size,g4 size,g5 size,g6 size,g7 size,g8 size,g9 size
"8390,479773432602","[[1810, 1901], [1319, 1333], [238, 254], [1433, 1440], [1887, 1968], [588, 524], [685, 762], [1689, 1792], [1016, 1080], [132, 25]]",6,2,10,"1,1",18082053,33,"0,24888090840087773","0,716352597454943","0,24888090840087773","0,639776490986344","0,018","0,016510604101009282","0,982",148,377,200,172,124,226,203,181,149,220
"8818,956024078201","[[132, 1760], [1016, 1080], [685, 762], [591, 497], [1558, 1518], [1990, 1937], [1842, 1998], [132, 1760], [1319, 1333], [504, 420]]",8,2,10,"1,1",18082054,34,"0,3461279321784798","0,572888546857214","0,3461279321784798","0,4611020626393751","0,0205","0,01896855165174174","0,9795",0,155,235,145,236,100,198,367,407,157
"8383,450471177795","[[840, 853], [685, 620], [254, 238], [1433, 1485], [1319, 1254], [504, 420], [132, 25], [1881, 1858], [1689, 1655], [528, 462]]",5,2,10,"1,1",18082055,35,"0,253364225029382","0,7022369800237185","0,253364225029382","0,5919645372847155","0,1355","0,12973586403917844","0,8645",161,275,192,188,227,156,228,256,219,98
"8629,035058553134","[[254, 238], [685, 620], [1357, 1347], [1254, 1319], [132, 25], [479, 563], [1881, 1893], [591, 596], [1179, 1086], [840, 870]]",5,2,10,"1,1",18082056,36,"0,2907792087989535","0,6505254351295623","0,2907792087989535","0,5117084879846745","0,031","0,03349547768324591","0,969",192,230,120,170,364,232,256,149,151,136
"8664,976634831311","[[1319, 1254], [1016, 1080], [685, 620], [1792, 1641], [840, 853], [588, 479], [641, 749], [1357, 1347], [1898, 1901], [132, 25]]",6,2,10,"1,1",18082057,37,"0,3133335514249569","0,6245254654855374","0,3133335514249569","0,5378568014261553","0,079","0,08688264228408223","0,921",163,156,204,186,152,315,254,98,245,227
"8484,420306704364","[[685, 620], [1937, 1848], [840, 853], [132, 25], [238, 254], [1319, 1254], [504, 588], [1854, 1964], [1433, 1485], [436, 524]]",6,2,10,"1,1",18082058,38,"0,28159107926837185","0,6646742153913927","0,28159107926837185","0,5259051455286208","0,018","0,01913877707860693","0,982",281,134,161,383,187,255,136,171,189,103
"8639,13143400973","[[1425, 1558], [278, 351], [132, 25], [1834, 1887], [1179, 1123], [643, 773], [1118, 1016], [588, 524], [1319, 1333], [685, 683]]",5,2,10,"1,1",18082059,39,"0,2794748513122938","0,6808780095836767","0,2794748513122938","0,5208147764740071","0,106","0,10626174613054766","0,894",162,174,348,176,70,112,130,259,392,177
"8756,7395406184","[[504, 524], [685, 762], [528, 462], [1360, 1255], [892, 1366], [1433, 1485], [835, 926], [132, 1760], [1254, 1319], [1834, 1881]]",5,2,10,"1,1",18082060,40,"0,3067972241712632","0,6395060367067018","0,3067972241712632","0,4377475601037951","0,178","0,17492502767951654","0,8220000000000001",171,294,95,86,107,211,139,414,152,331
"8644,716023165282","[[1689, 1641], [685, 620], [504, 420], [1990, 1816], [1319, 1333], [1440, 1582], [1854, 1964], [591, 528], [797, 665], [132, 25]]",4,2,10,"1,1",18082061,41,"0,3150301842425163","0,6348437267231328","0,3150301842425163","0,49840220456799383","0,148","0,13036552243843028","0,852",229,234,150,143,381,166,180,114,173,230
"8456,762691054944","[[1179, 1086], [254, 238], [1254, 1273], [1440, 1582], [1901, 1898], [1357, 1322], [132, 25], [840, 870], [588, 504], [685, 620]]",9,2,10,"1,1",18082062,42,"0,2635619313456531","0,6887450487871392","0,2635619313456531","0,5504170157070463","0,0955","0,0958065756555945","0,9045",166,197,171,152,221,128,364,126,248,227
"8484,633873937948","[[840, 969], [1650, 1643], [1655, 1689], [1319, 1254], [132, 25], [254, 238], [1834, 1887], [1047, 1187], [1433, 1485], [588, 504]]",6,2,10,"1,1",18082063,43,"0,2768200364300225","0,6761487010959578","0,2768200364300225","0,6150215474925536","0,012500000000000002","0,012378072900614013","0,9875",165,89,131,215,215,204,221,286,236,238
"8451,679982285194","[[685, 762], [1016, 1080], [132, 25], [1810, 1904], [769, 775], [1440, 1582], [588, 504], [1319, 1333], [1792, 1641], [254, 238]]",6,2,10,"1,1",18082064,44,"0,2697356998820912","0,6887813405753729","0,2697356998820912","0,6195051800290385","0,094","0,10150332235761846","0,906",140,151,228,233,109,162,247,358,180,192
"8699,87711332746","[[132, 25], [1641, 1689], [685, 693], [1179, 1086], [588, 504], [1433, 1485], [1319, 1333], [1834, 1887], [1655, 1658], [769, 600]]",6,2,10,"1,1",18082065,45,"0,34644367237277","0,5931262593588769","0,34644367237277","0,5367355215709213","0,23750000000000002","0,21922775146715928","0,7625",209,146,165,150,227,217,359,275,91,161
"8603,788276974472","[[591, 596], [254, 238], [685, 762], [840, 969], [1360, 1260], [132, 25], [1319, 1333], [504, 420], [1689, 1641], [1898, 1901]]",7,2,10,"1,1",18082066,46,"0,302303776346757","0,6343934294660403","0,302303776346757","0,5355284850612826","0,3395","0,3142764387284126","0,6605",176,210,251,156,73,232,185,152,248,317
"8616,12306437063","[[1433, 1485], [1016, 1080], [1025, 1118], [238, 254], [840, 853], [1834, 1881], [132, 25], [1319, 1254], [1154, 1161], [685, 762]]",5,2,10,"1,1",18082067,47,"0,29084325271872136","0,6631245645937631","0,29084325271872136","0,5550424191842898","0,0775","0,08565660395246964","0,9225",353,82,102,195,161,203,344,235,126,199
"8693,833236603441","[[1650, 1767], [588, 504], [1319, 1333], [1440, 1582], [132, 25], [1047, 1187], [1643, 1689], [1655, 1689], [1881, 1899], [254, 238]]",4,2,10,"1,1",18082068,48,"0,3191376406433277","0,6361566856627193","0,3191376406433277","0,5548891089131208","0,099","0,08638231599541005","0,901",61,266,367,188,211,289,53,110,241,214
"8805,733848829312","[[1319, 1333], [1151, 1025], [132, 25], [769, 775], [588, 479], [685, 693], [1834, 1881], [1440, 1582], [470, 544], [593, 436]]",5,2,10,"1,1",18082069,49,"0,3501210689614021","0,5883092746676382","0,3501210689614021","0,4521557566253301","0,126","0,14077926617887543","0,874",362,194,353,137,106,162,285,165,115,121
