cost,prototypes,times,q,K,m,seed,run,partition_entropy,modified_partition_coefficient,entropy,adjusted_rand_score,f1_micro,f1_macro,classification_error,g0 size,g1 size,g2 size,g3 size,g4 size,g5 size,g6 size,g7 size,g8 size,g9 size
"5391,0390826905295","[[817, 315], [1981, 1847], [392, 296], [347, 312], [1981, 817], [1596, 252], [1803, 1831], [198, 18], [1831, 1369], [1797, 1786]]",4,2,10,"1,1",18082102,82,"0,6686984258320906","0,2800316575724925","0,6686984258320906","0,32087478019655946","0,0875","0,08987406180254859","0,9125",117,190,220,255,166,266,152,194,219,221
"5380,843132279615","[[1831, 1881], [1596, 252], [347, 395], [692, 661], [1831, 661], [1981, 1099], [198, 18], [296, 392], [692, 661], [1797, 1786]]",7,2,10,"1,1",18082103,83,"0,6770033426237801","0,27603074848729225","0,6770033426237801","0,3539073056293891","0,1135","0,10801989518853275","0,8865",314,293,259,0,58,228,194,187,249,218
"5487,764389807277","[[296, 392], [1831, 1981], [392, 1717], [525, 315], [392, 1907], [1831, 1538], [1831, 1981], [374, 392], [198, 18], [374, 392]]",3,2,10,"1,1",18082104,84,"0,8064066508713148","0,14480679021309661","0,8064066508713148","0,2199414072643796","0,108","0,08373329932815894","0,892",173,0,226,358,137,229,407,0,245,225
"5424,405418557381","[[198, 18], [1981, 692], [279, 242], [296, 392], [692, 395], [1797, 1786], [392, 374], [1596, 252], [242, 525], [525, 315]]",3,2,10,"1,1",18082105,85,"0,733635363771129","0,22029088484839565","0,733635363771129","0,3054760425055338","0,184","0,1783668948986387","0,8160000000000001",194,291,289,170,270,218,113,256,91,108
"5403,326151839635","[[198, 18], [1797, 1786], [1981, 817], [525, 661], [1831, 1881], [395, 374], [392, 296], [692, 661], [312, 1338], [1981, 692]]",5,2,10,"1,1",18082106,86,"0,708752888315309","0,24463905941383057","0,708752888315309","0,3345497361606427","0,1585","0,16352357506058665","0,8415",194,219,205,178,325,134,177,212,207,149
"5387,11893628216","[[1797, 1786], [198, 69], [525, 296], [1831, 1881], [692, 661], [187, 46], [395, 347], [1981, 661], [1596, 252], [392, 296]]",7,2,10,"1,1",18082107,87,"0,682963747498283","0,26011722940807236","0,682963747498283","0,2879138955165983","0,0505","0,05381981809227944","0,9495",195,140,114,330,242,77,285,189,255,173
"5382,784959047985","[[395, 253], [374, 392], [692, 661], [1831, 1803], [395, 347], [1596, 252], [198, 18], [1797, 1786], [1981, 279], [392, 395]]",3,2,10,"1,1",18082108,88,"0,6867071597279208","0,2656237961272121","0,6867071597279208","0,3335053813223387","0,041","0,04667396302059444","0,959",130,144,254,288,164,294,194,225,260,47
"5490,092040263401","[[253, 262], [392, 1907], [198, 18], [1981, 692], [525, 817], [661, 279], [296, 242], [312, 1338], [692, 661], [1981, 279]]",5,2,10,"1,1",18082109,89,"0,7779748822323522","0,18017138119354137","0,7779748822323522","0,2428221743125973","0,106","0,09879026362853294","0,894",187,274,277,129,224,51,167,236,202,253
"5379,222828306439","[[1831, 1369], [525, 242], [1797, 1786], [1506, 1536], [347, 395], [1099, 1026], [198, 18], [1831, 1369], [392, 296], [692, 661]]",3,2,10,"1,1",18082110,90,"0,6538673796060402","0,290562833661425","0,6538673796060402","0,3849964016610422","0,1525","0,1427360192306342","0,8475",0,231,223,170,251,206,194,294,161,270
"5424,352000381318","[[1831, 1881], [817, 1981], [312, 347], [18, 198], [392, 661], [692, 661], [279, 1981], [296, 661], [197, 116], [1766, 1797]]",3,2,10,"1,1",18082111,91,"0,6967861887931583","0,2375386545158017","0,6967861887931583","0,25690914893564903","0,1225","0,11159725483007006","0,8775",306,210,264,131,121,271,254,160,68,215
"5380,766002982044","[[198, 69], [1797, 1786], [525, 661], [1831, 1369], [392, 296], [187, 73], [1253, 1315], [1596, 252], [395, 347], [1981, 1831]]",7,2,10,"1,1",18082112,92,"0,6423838747819616","0,2905996907308086","0,6423838747819616","0,2712701705528044","0,212","0,222962213135859","0,788",115,214,189,230,200,87,166,264,347,188
"5411,677350961132","[[395, 692], [296, 392], [395, 692], [187, 73], [1831, 1881], [395, 692], [198, 69], [1596, 252], [1797, 1786], [1444, 1831]]",6,2,10,"1,1",18082113,93,"0,6825275957232235","0,25170464420088146","0,6825275957232235","0,27801735706645153","0,2995","0,24119946552411373","0,7005",0,320,0,87,356,484,116,302,213,122
"5400,821142842877","[[198, 18], [525, 817], [296, 242], [1981, 279], [392, 1907], [312, 251], [1797, 1786], [392, 817], [1506, 1536], [1596, 252]]",4,2,10,"1,1",18082114,94,"0,6806681909099686","0,2748869274096485","0,6806681909099686","0,3020424174834654","0,1425","0,137401404609665","0,8575",194,161,169,381,175,259,218,109,144,190
"5376,112110758849","[[1797, 1786], [1981, 279], [1445, 661], [347, 395], [1506, 1586], [692, 661], [198, 18], [1831, 1369], [1981, 279], [374, 395]]",3,2,10,"1,1",18082115,95,"0,6693867720281209","0,28058027266861263","0,6693867720281209","0,3184594618974206","0,107","0,10276389020254115","0,893",241,0,177,251,154,276,194,286,292,129
"5414,246857287257","[[392, 374], [242, 296], [198, 18], [661, 395], [661, 395], [1831, 1881], [395, 347], [1797, 1786], [661, 374], [692, 661]]",3,2,10,"1,1",18082116,96,"0,734814349898559","0,22428879567302795","0,734814349898559","0,27454534452407314","0,051","0,041870879419355723","0,949",173,235,194,0,84,384,295,234,89,312
"5434,997527106041","[[296, 384], [1596, 252], [198, 18], [392, 312], [279, 242], [392, 817], [395, 347], [374, 395], [692, 746], [1831, 1881]]",5,2,10,"1,1",18082117,97,"0,743198110381627","0,212129026311624","0,743198110381627","0,2679031434233933","0,09800000000000002","0,08790307835706515","0,902",126,252,283,144,189,147,191,67,287,314
"5433,983201867566","[[198, 18], [395, 347], [392, 374], [392, 1717], [525, 661], [1831, 1981], [1506, 1536], [312, 1338], [1831, 1803], [692, 1981]]",4,2,10,"1,1",18082118,98,"0,719580230524445","0,22409707008129842","0,719580230524445","0,2893346523807326","0,188","0,17764124742102916","0,812",245,206,143,247,163,147,163,192,229,265
"5418,20330856522","[[817, 1981], [198, 18], [252, 1596], [661, 525], [1981, 1847], [692, 661], [1831, 1847], [1831, 1981], [1506, 1536], [1797, 1786]]",4,2,10,"1,1",18082119,99,"0,6708916823378093","0,2793890366022357","0,6708916823378093","0,3350297008063153","0,1435","0,13190092169988213","0,8565",194,195,221,154,138,406,176,130,133,253
